VG,C
-2.000000e+00,1.518224e+02
-1.789474e+00,1.358413e+02
-1.578947e+00,1.198603e+02
-1.368421e+00,1.038793e+02
-1.157895e+00,8.789825e+01
-9.473684e-01,7.191722e+01
-7.368421e-01,5.593620e+01
-5.263158e-01,3.995517e+01
-3.157895e-01,2.397414e+01
-1.052632e-01,7.993113e+00
1.052632e-01,-7.987915e+00
3.157895e-01,-2.396894e+01
5.263158e-01,-3.994997e+01
7.368421e-01,-5.593100e+01
9.473684e-01,-7.191203e+01
1.157895e+00,-8.789305e+01
1.368421e+00,-1.038741e+02
1.578947e+00,-1.198551e+02
1.789474e+00,-1.358361e+02
2.000000e+00,-1.518172e+02
