x,V,n,p
0.000000e+00,2.000001e+00,0.000000e+00,0.000000e+00
1.000000e-09,1.850000e+00,0.000000e+00,0.000000e+00
2.000000e-09,1.700000e+00,0.000000e+00,0.000000e+00
3.000000e-09,1.550000e+00,0.000000e+00,0.000000e+00
4.000000e-09,1.400000e+00,0.000000e+00,0.000000e+00
5.000000e-09,1.250000e+00,0.000000e+00,0.000000e+00
6.000000e-09,1.100000e+00,0.000000e+00,0.000000e+00
7.000000e-09,9.499998e-01,0.000000e+00,0.000000e+00
8.000000e-09,7.999998e-01,0.000000e+00,0.000000e+00
9.000000e-09,6.499998e-01,0.000000e+00,0.000000e+00
1.000000e-08,4.999999e-01,0.000000e+00,0.000000e+00
2.000000e-08,1.356766e-14,4.500986e+10,1.002212e+22
2.010000e-08,9.113034e-24,4.500986e+10,1.002212e+22
2.020100e-08,9.112660e-24,4.500986e+10,1.002212e+22
2.030301e-08,9.112634e-24,4.500986e+10,1.002212e+22
2.040604e-08,9.112594e-24,4.500986e+10,1.002212e+22
2.051010e-08,9.112541e-24,4.500986e+10,1.002212e+22
2.061520e-08,9.112476e-24,4.500986e+10,1.002211e+22
2.072135e-08,9.112397e-24,4.500986e+10,1.002211e+22
2.082857e-08,9.112304e-24,4.500986e+10,1.002211e+22
2.093685e-08,9.112199e-24,4.500986e+10,1.002211e+22
2.104622e-08,9.112081e-24,4.500986e+10,1.002211e+22
2.115668e-08,9.109579e-24,2.251700e+10,1.002211e+22
2.126825e-08,9.109554e-24,2.251700e+10,1.002211e+22
2.138093e-08,9.109528e-24,2.251700e+10,1.002211e+22
2.149474e-08,9.109503e-24,2.251700e+10,1.002211e+22
2.160969e-08,9.109476e-24,2.251700e+10,1.002211e+22
2.172579e-08,9.109449e-24,2.251700e+10,1.002211e+22
2.184304e-08,9.109422e-24,2.251700e+10,1.002211e+22
2.196147e-08,9.109395e-24,2.251700e+10,1.002211e+22
2.208109e-08,9.109367e-24,2.251700e+10,1.002211e+22
2.220190e-08,9.109338e-24,2.251700e+10,1.002211e+22
2.232392e-08,9.109309e-24,2.251700e+10,1.002211e+22
2.244716e-08,9.109280e-24,2.251700e+10,1.002211e+22
2.257163e-08,9.109250e-24,2.251700e+10,1.002211e+22
2.269735e-08,9.109220e-24,2.251700e+10,1.002211e+22
2.282432e-08,9.109189e-24,2.251700e+10,1.002211e+22
2.295256e-08,9.109158e-24,2.251700e+10,1.002211e+22
2.308209e-08,9.109127e-24,2.251700e+10,1.002211e+22
2.321291e-08,9.109094e-24,2.251700e+10,1.002211e+22
2.334504e-08,9.109062e-24,2.251700e+10,1.002211e+22
2.347849e-08,9.109029e-24,2.251700e+10,1.002211e+22
2.361327e-08,9.108995e-24,2.251700e+10,1.002211e+22
2.374941e-08,9.108961e-24,2.251700e+10,1.002211e+22
2.388690e-08,9.108926e-24,2.251700e+10,1.002211e+22
2.402577e-08,9.108890e-24,2.251700e+10,1.002211e+22
2.416603e-08,9.108854e-24,2.251700e+10,1.002211e+22
2.430769e-08,9.108818e-24,2.251700e+10,1.002211e+22
2.445076e-08,9.108781e-24,2.251700e+10,1.002211e+22
2.459527e-08,9.108743e-24,2.251700e+10,1.002211e+22
2.474123e-08,9.108705e-24,2.251700e+10,1.002211e+22
2.488864e-08,9.108666e-24,2.251700e+10,1.002211e+22
2.503752e-08,9.108627e-24,2.251700e+10,1.002211e+22
2.518790e-08,9.108587e-24,2.251700e+10,1.002211e+22
2.533978e-08,9.108546e-24,2.251700e+10,1.002211e+22
2.549318e-08,9.108504e-24,2.251700e+10,1.002211e+22
2.564811e-08,9.108462e-24,2.251700e+10,1.002211e+22
2.580459e-08,9.108419e-24,2.251700e+10,1.002211e+22
2.596263e-08,9.108376e-24,2.251700e+10,1.002210e+22
2.612226e-08,9.108332e-24,2.251700e+10,1.002210e+22
2.628348e-08,9.108287e-24,2.251700e+10,1.002210e+22
2.644632e-08,9.108241e-24,2.251700e+10,1.002210e+22
2.661078e-08,9.108195e-24,2.251700e+10,1.002210e+22
2.677689e-08,9.108148e-24,2.251700e+10,1.002210e+22
2.694466e-08,9.108100e-24,2.251700e+10,1.002210e+22
2.711410e-08,9.108051e-24,2.251700e+10,1.002210e+22
2.728525e-08,9.108002e-24,2.251700e+10,1.002210e+22
2.745810e-08,9.107952e-24,2.251700e+10,1.002210e+22
2.763268e-08,9.107900e-24,2.251700e+10,1.002210e+22
2.780901e-08,9.107848e-24,2.251700e+10,1.002210e+22
2.798710e-08,9.107796e-24,2.251700e+10,1.002210e+22
2.816697e-08,9.107742e-24,2.251700e+10,1.002210e+22
2.834864e-08,9.107687e-24,2.251700e+10,1.002210e+22
2.853212e-08,9.107632e-24,2.251700e+10,1.002210e+22
2.871744e-08,9.107576e-24,2.251700e+10,1.002210e+22
2.890462e-08,9.107518e-24,2.251700e+10,1.002210e+22
2.909366e-08,9.107460e-24,2.251700e+10,1.002210e+22
2.928460e-08,9.107401e-24,2.251700e+10,1.002210e+22
2.947745e-08,9.107341e-24,2.251700e+10,1.002210e+22
2.967222e-08,9.107279e-24,2.251700e+10,1.002210e+22
2.986894e-08,9.107217e-24,2.251700e+10,1.002210e+22
3.006763e-08,9.107154e-24,2.251700e+10,1.002210e+22
3.026831e-08,9.107090e-24,2.251700e+10,1.002210e+22
3.047099e-08,9.107024e-24,2.251700e+10,1.002210e+22
3.067570e-08,9.106958e-24,2.251700e+10,1.002210e+22
3.088246e-08,9.106890e-24,2.251700e+10,1.002210e+22
3.109128e-08,9.106821e-24,2.251700e+10,1.002210e+22
3.130220e-08,9.106751e-24,2.251700e+10,1.002210e+22
3.151522e-08,9.106680e-24,2.251700e+10,1.002210e+22
3.173037e-08,9.106608e-24,2.251700e+10,1.002210e+22
3.194768e-08,9.106534e-24,2.251700e+10,1.002210e+22
3.216715e-08,9.106460e-24,2.251700e+10,1.002210e+22
3.238882e-08,9.106384e-24,2.251700e+10,1.002210e+22
3.261271e-08,9.106306e-24,2.251700e+10,1.002210e+22
3.283884e-08,9.106228e-24,2.251700e+10,1.002210e+22
3.306723e-08,9.106148e-24,2.251700e+10,1.002210e+22
3.329790e-08,9.106066e-24,2.251700e+10,1.002210e+22
3.353088e-08,9.105984e-24,2.251700e+10,1.002210e+22
3.376619e-08,9.105899e-24,2.251700e+10,1.002210e+22
3.400385e-08,9.105814e-24,2.251700e+10,1.002210e+22
3.424389e-08,9.105727e-24,2.251700e+10,1.002210e+22
3.448633e-08,9.105638e-24,2.251700e+10,1.002210e+22
3.473119e-08,9.105548e-24,2.251700e+10,1.002210e+22
3.497850e-08,9.105457e-24,2.251700e+10,1.002210e+22
3.522829e-08,9.105363e-24,2.251700e+10,1.002210e+22
3.548057e-08,9.105269e-24,2.251700e+10,1.002210e+22
3.573538e-08,9.105172e-24,2.251700e+10,1.002210e+22
3.599273e-08,9.105074e-24,2.251700e+10,1.002210e+22
3.625266e-08,9.104974e-24,2.251700e+10,1.002210e+22
3.651518e-08,9.104873e-24,2.251700e+10,1.002210e+22
3.678033e-08,9.104770e-24,2.251700e+10,1.002210e+22
3.704814e-08,9.104665e-24,2.251700e+10,1.002210e+22
3.731862e-08,9.104558e-24,2.251700e+10,1.002210e+22
3.759181e-08,9.104449e-24,2.251700e+10,1.002210e+22
3.786772e-08,9.104338e-24,2.251700e+10,1.002210e+22
3.814640e-08,9.104226e-24,2.251700e+10,1.002209e+22
3.842787e-08,9.104111e-24,2.251700e+10,1.002209e+22
3.871214e-08,9.103995e-24,2.251700e+10,1.002209e+22
3.899927e-08,9.103876e-24,2.251700e+10,1.002209e+22
3.928926e-08,9.103755e-24,2.251700e+10,1.002209e+22
3.958215e-08,9.103633e-24,2.251700e+10,1.002209e+22
3.987797e-08,9.103508e-24,2.251700e+10,1.002209e+22
4.017675e-08,9.103381e-24,2.251700e+10,1.002209e+22
4.047852e-08,9.103251e-24,2.251700e+10,1.002209e+22
4.078330e-08,9.103120e-24,2.251699e+10,1.002209e+22
4.109114e-08,9.102986e-24,2.251699e+10,1.002209e+22
4.140205e-08,9.102850e-24,2.251699e+10,1.002209e+22
4.171607e-08,9.102711e-24,2.251699e+10,1.002209e+22
4.203323e-08,9.102570e-24,2.251699e+10,1.002209e+22
4.235356e-08,9.102426e-24,2.251699e+10,1.002209e+22
4.267710e-08,9.102280e-24,2.251699e+10,1.002209e+22
4.300387e-08,9.102131e-24,2.251699e+10,1.002209e+22
4.333391e-08,9.101980e-24,2.251699e+10,1.002209e+22
4.366725e-08,9.101826e-24,2.251699e+10,1.002209e+22
4.400392e-08,9.101669e-24,2.251699e+10,1.002209e+22
4.434396e-08,9.101509e-24,2.251699e+10,1.002209e+22
4.468740e-08,9.101347e-24,2.251699e+10,1.002209e+22
4.503427e-08,9.101181e-24,2.251699e+10,1.002209e+22
4.538461e-08,9.101013e-24,2.251699e+10,1.002209e+22
4.573846e-08,9.100842e-24,2.251699e+10,1.002209e+22
4.609585e-08,9.100667e-24,2.251699e+10,1.002209e+22
4.645680e-08,9.100490e-24,2.251699e+10,1.002209e+22
4.682137e-08,9.100309e-24,2.251699e+10,1.002209e+22
4.718959e-08,9.100125e-24,2.251699e+10,1.002208e+22
4.756148e-08,9.099938e-24,2.251699e+10,1.002208e+22
4.793710e-08,9.099747e-24,2.251699e+10,1.002208e+22
4.831647e-08,9.099553e-24,2.251699e+10,1.002208e+22
4.869963e-08,9.099356e-24,2.251699e+10,1.002208e+22
4.908663e-08,9.099154e-24,2.251699e+10,1.002208e+22
4.947749e-08,9.098950e-24,2.251699e+10,1.002208e+22
4.987227e-08,9.098741e-24,2.251699e+10,1.002208e+22
5.027099e-08,9.098529e-24,2.251699e+10,1.002208e+22
5.067370e-08,9.098313e-24,2.251699e+10,1.002208e+22
5.108044e-08,9.098093e-24,2.251699e+10,1.002208e+22
5.149124e-08,9.097869e-24,2.251699e+10,1.002208e+22
5.190616e-08,9.097641e-24,2.251699e+10,1.002208e+22
5.232522e-08,9.097409e-24,2.251699e+10,1.002208e+22
5.274847e-08,9.097173e-24,2.251699e+10,1.002208e+22
5.317595e-08,9.096932e-24,2.251699e+10,1.002208e+22
5.360771e-08,9.096687e-24,2.251699e+10,1.002208e+22
5.404379e-08,9.096438e-24,2.251699e+10,1.002208e+22
5.448423e-08,9.096184e-24,2.251699e+10,1.002208e+22
5.492907e-08,9.095925e-24,2.251699e+10,1.002207e+22
5.537836e-08,9.095662e-24,2.251699e+10,1.002207e+22
5.583215e-08,9.095394e-24,2.251699e+10,1.002207e+22
5.629047e-08,9.095120e-24,2.251699e+10,1.002207e+22
5.675337e-08,9.094842e-24,2.251699e+10,1.002207e+22
5.722091e-08,9.094559e-24,2.251699e+10,1.002207e+22
5.769311e-08,9.094271e-24,2.251699e+10,1.002207e+22
5.817005e-08,9.093977e-24,2.251698e+10,1.002207e+22
5.865175e-08,9.093678e-24,2.251698e+10,1.002207e+22
5.913826e-08,9.093374e-24,2.251698e+10,1.002207e+22
5.962965e-08,9.093063e-24,2.251698e+10,1.002207e+22
6.012594e-08,9.092748e-24,2.251698e+10,1.002207e+22
6.062720e-08,9.092426e-24,2.251698e+10,1.002207e+22
6.113347e-08,9.092098e-24,2.251698e+10,1.002207e+22
6.164481e-08,9.091765e-24,2.251698e+10,1.002206e+22
6.216126e-08,9.091425e-24,2.251698e+10,1.002206e+22
