x,V,n,p
0.000000e+00,-nan,0.000000e+00,0.000000e+00
1.000000e-09,-nan,0.000000e+00,0.000000e+00
2.000000e-09,-nan,0.000000e+00,0.000000e+00
3.000000e-09,-nan,0.000000e+00,0.000000e+00
4.000000e-09,-nan,0.000000e+00,0.000000e+00
5.000000e-09,-nan,0.000000e+00,0.000000e+00
6.000000e-09,-nan,0.000000e+00,0.000000e+00
7.000000e-09,-nan,0.000000e+00,0.000000e+00
8.000000e-09,-nan,0.000000e+00,0.000000e+00
9.000000e-09,-nan,0.000000e+00,0.000000e+00
1.000000e-08,nan,0.000000e+00,0.000000e+00
2.000000e-08,nan,-nan,-nan
2.010000e-08,nan,-nan,-nan
2.020100e-08,nan,-nan,-nan
2.030301e-08,nan,-nan,-nan
2.040604e-08,nan,-nan,-nan
2.051010e-08,nan,-nan,-nan
2.061520e-08,nan,-nan,-nan
2.072135e-08,nan,-nan,-nan
2.082857e-08,nan,-nan,-nan
2.093685e-08,nan,-nan,-nan
2.104622e-08,nan,-nan,-nan
2.115668e-08,nan,-nan,-nan
2.126825e-08,nan,-nan,-nan
2.138093e-08,nan,-nan,-nan
2.149474e-08,nan,-nan,-nan
2.160969e-08,nan,-nan,-nan
2.172579e-08,nan,-nan,-nan
2.184304e-08,nan,-nan,-nan
2.196147e-08,nan,-nan,-nan
2.208109e-08,nan,-nan,-nan
2.220190e-08,nan,-nan,-nan
2.232392e-08,nan,-nan,-nan
2.244716e-08,nan,-nan,-nan
2.257163e-08,nan,-nan,-nan
2.269735e-08,nan,-nan,-nan
2.282432e-08,nan,-nan,-nan
2.295256e-08,nan,-nan,-nan
2.308209e-08,nan,-nan,-nan
2.321291e-08,nan,-nan,-nan
2.334504e-08,nan,-nan,-nan
2.347849e-08,nan,-nan,-nan
2.361327e-08,nan,-nan,-nan
2.374941e-08,nan,-nan,-nan
2.388690e-08,nan,-nan,-nan
2.402577e-08,nan,-nan,-nan
2.416603e-08,nan,-nan,-nan
2.430769e-08,nan,-nan,-nan
2.445076e-08,nan,-nan,-nan
2.459527e-08,nan,-nan,-nan
2.474123e-08,nan,-nan,-nan
2.488864e-08,nan,-nan,-nan
2.503752e-08,nan,-nan,-nan
2.518790e-08,nan,-nan,-nan
2.533978e-08,nan,-nan,-nan
2.549318e-08,nan,-nan,-nan
2.564811e-08,nan,-nan,-nan
2.580459e-08,nan,-nan,-nan
2.596263e-08,nan,-nan,-nan
2.612226e-08,nan,-nan,-nan
2.628348e-08,nan,-nan,-nan
2.644632e-08,nan,-nan,-nan
2.661078e-08,nan,-nan,-nan
2.677689e-08,nan,-nan,-nan
2.694466e-08,nan,-nan,-nan
2.711410e-08,nan,-nan,-nan
2.728525e-08,nan,-nan,-nan
2.745810e-08,nan,-nan,-nan
2.763268e-08,nan,-nan,-nan
2.780901e-08,nan,-nan,-nan
2.798710e-08,nan,-nan,-nan
2.816697e-08,nan,-nan,-nan
2.834864e-08,nan,-nan,-nan
2.853212e-08,nan,-nan,-nan
2.871744e-08,nan,-nan,-nan
2.890462e-08,nan,-nan,-nan
2.909366e-08,nan,-nan,-nan
2.928460e-08,nan,-nan,-nan
2.947745e-08,nan,-nan,-nan
2.967222e-08,nan,-nan,-nan
2.986894e-08,nan,-nan,-nan
3.006763e-08,nan,-nan,-nan
3.026831e-08,nan,-nan,-nan
3.047099e-08,nan,-nan,-nan
3.067570e-08,nan,-nan,-nan
3.088246e-08,nan,-nan,-nan
3.109128e-08,nan,-nan,-nan
3.130220e-08,nan,-nan,-nan
3.151522e-08,nan,-nan,-nan
3.173037e-08,nan,-nan,-nan
3.194768e-08,nan,-nan,-nan
3.216715e-08,nan,-nan,-nan
3.238882e-08,nan,-nan,-nan
3.261271e-08,nan,-nan,-nan
3.283884e-08,nan,-nan,-nan
3.306723e-08,nan,-nan,-nan
3.329790e-08,nan,-nan,-nan
3.353088e-08,nan,-nan,-nan
3.376619e-08,nan,-nan,-nan
3.400385e-08,nan,-nan,-nan
3.424389e-08,nan,-nan,-nan
3.448633e-08,nan,-nan,-nan
3.473119e-08,nan,-nan,-nan
3.497850e-08,nan,-nan,-nan
3.522829e-08,nan,-nan,-nan
3.548057e-08,nan,-nan,-nan
3.573538e-08,nan,-nan,-nan
3.599273e-08,nan,-nan,-nan
3.625266e-08,nan,-nan,-nan
3.651518e-08,nan,-nan,-nan
3.678033e-08,nan,-nan,-nan
3.704814e-08,nan,-nan,-nan
3.731862e-08,nan,-nan,-nan
3.759181e-08,nan,-nan,-nan
3.786772e-08,nan,-nan,-nan
3.814640e-08,nan,-nan,-nan
3.842787e-08,nan,-nan,-nan
3.871214e-08,nan,-nan,-nan
3.899927e-08,nan,-nan,-nan
3.928926e-08,nan,-nan,-nan
3.958215e-08,nan,-nan,-nan
3.987797e-08,nan,-nan,-nan
4.017675e-08,nan,-nan,-nan
4.047852e-08,nan,-nan,-nan
4.078330e-08,nan,-nan,-nan
4.109114e-08,nan,-nan,-nan
4.140205e-08,nan,-nan,-nan
4.171607e-08,nan,-nan,-nan
4.203323e-08,nan,-nan,-nan
4.235356e-08,nan,-nan,-nan
4.267710e-08,nan,-nan,-nan
4.300387e-08,nan,-nan,-nan
4.333391e-08,nan,-nan,-nan
4.366725e-08,nan,-nan,-nan
4.400392e-08,nan,-nan,-nan
4.434396e-08,nan,-nan,-nan
4.468740e-08,nan,-nan,-nan
4.503427e-08,nan,-nan,-nan
