x,V,n,p
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-09,3.096242e-28,0.000000e+00,0.000000e+00
2.000000e-09,6.192485e-28,0.000000e+00,0.000000e+00
3.000000e-09,9.288727e-28,0.000000e+00,0.000000e+00
4.000000e-09,1.238497e-27,0.000000e+00,0.000000e+00
5.000000e-09,1.548121e-27,0.000000e+00,0.000000e+00
6.000000e-09,1.857745e-27,0.000000e+00,0.000000e+00
7.000000e-09,2.167370e-27,0.000000e+00,0.000000e+00
8.000000e-09,2.476994e-27,0.000000e+00,0.000000e+00
9.000000e-09,2.786618e-27,0.000000e+00,0.000000e+00
1.000000e-08,3.096242e-27,0.000000e+00,0.000000e+00
2.000000e-08,4.128253e-27,2.250000e+10,1.000000e+22
2.010000e-08,4.128253e-27,2.250000e+10,1.000000e+22
2.020100e-08,4.128254e-27,2.250000e+10,1.000000e+22
2.030301e-08,4.128254e-27,2.250000e+10,1.000000e+22
2.040604e-08,4.128254e-27,2.250000e+10,1.000000e+22
2.051010e-08,4.128254e-27,2.250000e+10,1.000000e+22
2.061520e-08,4.128254e-27,2.250000e+10,1.000000e+22
2.072135e-08,4.128255e-27,2.250000e+10,1.000000e+22
2.082857e-08,4.128255e-27,2.250000e+10,1.000000e+22
2.093685e-08,4.128255e-27,2.250000e+10,1.000000e+22
2.104622e-08,4.128256e-27,2.250000e+10,1.000000e+22
2.115668e-08,4.128256e-27,2.250000e+10,1.000000e+22
2.126825e-08,4.128257e-27,2.250000e+10,1.000000e+22
2.138093e-08,4.128258e-27,2.250000e+10,1.000000e+22
2.149474e-08,4.128258e-27,2.250000e+10,1.000000e+22
2.160969e-08,4.128259e-27,2.250000e+10,1.000000e+22
2.172579e-08,4.128260e-27,2.250000e+10,1.000000e+22
2.184304e-08,4.128260e-27,2.250000e+10,1.000000e+22
2.196147e-08,4.128261e-27,2.250000e+10,1.000000e+22
2.208109e-08,4.128262e-27,2.250000e+10,1.000000e+22
2.220190e-08,4.128263e-27,2.250000e+10,1.000000e+22
2.232392e-08,4.128264e-27,2.250000e+10,1.000000e+22
2.244716e-08,4.128265e-27,2.250000e+10,1.000000e+22
2.257163e-08,4.128266e-27,2.250000e+10,1.000000e+22
2.269735e-08,4.128267e-27,2.250000e+10,1.000000e+22
2.282432e-08,4.128268e-27,2.250000e+10,1.000000e+22
2.295256e-08,4.128269e-27,2.250000e+10,1.000000e+22
2.308209e-08,4.128270e-27,2.250000e+10,1.000000e+22
2.321291e-08,4.128272e-27,2.250000e+10,1.000000e+22
2.334504e-08,4.128273e-27,2.250000e+10,1.000000e+22
2.347849e-08,4.128274e-27,2.250000e+10,1.000000e+22
2.361327e-08,4.128276e-27,2.250000e+10,1.000000e+22
2.374941e-08,4.128277e-27,2.250000e+10,1.000000e+22
2.388690e-08,4.128278e-27,2.250000e+10,1.000000e+22
2.402577e-08,4.128280e-27,2.250000e+10,1.000000e+22
2.416603e-08,4.128281e-27,2.250000e+10,1.000000e+22
2.430769e-08,4.128283e-27,2.250000e+10,1.000000e+22
2.445076e-08,4.128284e-27,2.250000e+10,1.000000e+22
2.459527e-08,4.128286e-27,2.250000e+10,1.000000e+22
2.474123e-08,4.128287e-27,2.250000e+10,1.000000e+22
2.488864e-08,4.128289e-27,2.250000e+10,1.000000e+22
2.503752e-08,4.128290e-27,2.250000e+10,1.000000e+22
2.518790e-08,4.128292e-27,2.250000e+10,1.000000e+22
2.533978e-08,4.128294e-27,2.250000e+10,1.000000e+22
2.549318e-08,4.128295e-27,2.250000e+10,1.000000e+22
2.564811e-08,4.128297e-27,2.250000e+10,1.000000e+22
2.580459e-08,4.128299e-27,2.250000e+10,1.000000e+22
2.596263e-08,4.128301e-27,2.250000e+10,1.000000e+22
2.612226e-08,4.128303e-27,2.250000e+10,1.000000e+22
2.628348e-08,4.128304e-27,2.250000e+10,1.000000e+22
2.644632e-08,4.128306e-27,2.250000e+10,1.000000e+22
2.661078e-08,4.128308e-27,2.250000e+10,1.000000e+22
2.677689e-08,4.128310e-27,2.250000e+10,1.000000e+22
2.694466e-08,4.128312e-27,2.250000e+10,1.000000e+22
2.711410e-08,4.128314e-27,2.250000e+10,1.000000e+22
2.728525e-08,4.128316e-27,2.250000e+10,1.000000e+22
2.745810e-08,4.128318e-27,2.250000e+10,1.000000e+22
2.763268e-08,4.128321e-27,2.250000e+10,1.000000e+22
2.780901e-08,4.128323e-27,2.250000e+10,1.000000e+22
2.798710e-08,4.128325e-27,2.250000e+10,1.000000e+22
2.816697e-08,4.128327e-27,2.250000e+10,1.000000e+22
2.834864e-08,4.128329e-27,2.250000e+10,1.000000e+22
2.853212e-08,4.128331e-27,2.250000e+10,1.000000e+22
2.871744e-08,4.128334e-27,2.250000e+10,1.000000e+22
2.890462e-08,4.128336e-27,2.250000e+10,1.000000e+22
2.909366e-08,4.128338e-27,2.250000e+10,1.000000e+22
2.928460e-08,4.128341e-27,2.250000e+10,1.000000e+22
2.947745e-08,4.128343e-27,2.250000e+10,1.000000e+22
2.967222e-08,4.128345e-27,2.250000e+10,1.000000e+22
2.986894e-08,4.128348e-27,2.250000e+10,1.000000e+22
3.006763e-08,4.128350e-27,2.250000e+10,1.000000e+22
3.026831e-08,4.128353e-27,2.250000e+10,1.000000e+22
3.047099e-08,4.128355e-27,2.250000e+10,1.000000e+22
3.067570e-08,4.128358e-27,2.250000e+10,1.000000e+22
3.088246e-08,4.128360e-27,2.250000e+10,1.000000e+22
3.109128e-08,4.128363e-27,2.250000e+10,1.000000e+22
3.130220e-08,4.128365e-27,2.250000e+10,1.000000e+22
3.151522e-08,4.128368e-27,2.250000e+10,1.000000e+22
3.173037e-08,4.128371e-27,2.250000e+10,1.000000e+22
3.194768e-08,4.128373e-27,2.250000e+10,1.000000e+22
3.216715e-08,4.128376e-27,2.250000e+10,1.000000e+22
3.238882e-08,4.128378e-27,2.250000e+10,1.000000e+22
3.261271e-08,4.128381e-27,2.250000e+10,1.000000e+22
3.283884e-08,4.128384e-27,2.250000e+10,1.000000e+22
3.306723e-08,4.128387e-27,2.250000e+10,1.000000e+22
3.329790e-08,4.128390e-27,2.250000e+10,1.000000e+22
3.353088e-08,4.128392e-27,2.250000e+10,1.000000e+22
3.376619e-08,4.128395e-27,2.250000e+10,1.000000e+22
3.400385e-08,4.128398e-27,2.250000e+10,1.000000e+22
3.424389e-08,4.128401e-27,2.250000e+10,1.000000e+22
3.448633e-08,4.128404e-27,2.250000e+10,1.000000e+22
3.473119e-08,4.128407e-27,2.250000e+10,1.000000e+22
3.497850e-08,4.128409e-27,2.250000e+10,1.000000e+22
3.522829e-08,4.128412e-27,2.250000e+10,1.000000e+22
3.548057e-08,4.128415e-27,2.250000e+10,1.000000e+22
3.573538e-08,4.128418e-27,2.250000e+10,1.000000e+22
3.599273e-08,4.128421e-27,2.250000e+10,1.000000e+22
3.625266e-08,4.128424e-27,2.250000e+10,1.000000e+22
3.651518e-08,4.128427e-27,2.250000e+10,1.000000e+22
3.678033e-08,4.128430e-27,2.250000e+10,1.000000e+22
