x,V,n,p
0.000000e+00,-nan,0.000000e+00,0.000000e+00
2.000000e-10,-nan,0.000000e+00,0.000000e+00
4.000000e-10,-nan,0.000000e+00,0.000000e+00
6.000000e-10,-nan,0.000000e+00,0.000000e+00
8.000000e-10,-nan,0.000000e+00,0.000000e+00
1.000000e-09,-nan,0.000000e+00,0.000000e+00
1.200000e-09,-nan,0.000000e+00,0.000000e+00
1.400000e-09,-nan,0.000000e+00,0.000000e+00
1.600000e-09,-nan,0.000000e+00,0.000000e+00
1.800000e-09,-nan,0.000000e+00,0.000000e+00
2.000000e-09,-nan,0.000000e+00,0.000000e+00
2.200000e-09,-nan,0.000000e+00,0.000000e+00
2.400000e-09,-nan,0.000000e+00,0.000000e+00
2.600000e-09,-nan,0.000000e+00,0.000000e+00
2.800000e-09,-nan,0.000000e+00,0.000000e+00
3.000000e-09,-nan,0.000000e+00,0.000000e+00
3.200000e-09,-nan,0.000000e+00,0.000000e+00
3.400000e-09,-nan,0.000000e+00,0.000000e+00
3.600000e-09,-nan,0.000000e+00,0.000000e+00
3.800000e-09,-nan,0.000000e+00,0.000000e+00
4.000000e-09,-nan,0.000000e+00,0.000000e+00
4.200000e-09,-nan,0.000000e+00,0.000000e+00
4.400000e-09,-nan,0.000000e+00,0.000000e+00
4.600000e-09,-nan,0.000000e+00,0.000000e+00
4.800000e-09,-nan,0.000000e+00,0.000000e+00
5.000000e-09,-nan,0.000000e+00,0.000000e+00
5.200000e-09,-nan,0.000000e+00,0.000000e+00
5.400000e-09,-nan,0.000000e+00,0.000000e+00
5.600000e-09,-nan,0.000000e+00,0.000000e+00
5.800000e-09,-nan,0.000000e+00,0.000000e+00
6.000000e-09,-nan,0.000000e+00,0.000000e+00
6.200000e-09,-nan,0.000000e+00,0.000000e+00
6.400000e-09,-nan,0.000000e+00,0.000000e+00
6.600000e-09,-nan,0.000000e+00,0.000000e+00
6.800000e-09,-nan,0.000000e+00,0.000000e+00
7.000000e-09,-nan,0.000000e+00,0.000000e+00
7.200000e-09,-nan,0.000000e+00,0.000000e+00
7.400000e-09,-nan,0.000000e+00,0.000000e+00
7.600000e-09,-nan,0.000000e+00,0.000000e+00
7.800000e-09,-nan,0.000000e+00,0.000000e+00
8.000000e-09,-nan,0.000000e+00,0.000000e+00
8.200000e-09,-nan,0.000000e+00,0.000000e+00
8.400000e-09,-nan,0.000000e+00,0.000000e+00
8.600000e-09,-nan,0.000000e+00,0.000000e+00
8.800000e-09,-nan,0.000000e+00,0.000000e+00
9.000000e-09,-nan,0.000000e+00,0.000000e+00
9.200000e-09,-nan,0.000000e+00,0.000000e+00
9.400000e-09,-nan,0.000000e+00,0.000000e+00
9.600000e-09,-nan,0.000000e+00,0.000000e+00
9.800000e-09,-nan,0.000000e+00,0.000000e+00
1.000000e-08,-nan,-nan,-nan
1.010000e-08,-nan,-nan,-nan
1.020100e-08,nan,-nan,-nan
1.030301e-08,nan,nan,nan
1.040604e-08,nan,nan,nan
1.051010e-08,nan,-nan,-nan
1.061520e-08,nan,-nan,-nan
1.072135e-08,nan,nan,nan
1.082857e-08,nan,nan,nan
1.093685e-08,nan,-nan,-nan
1.104622e-08,nan,-nan,-nan
1.115668e-08,nan,nan,nan
1.126825e-08,nan,nan,nan
1.138093e-08,nan,-nan,-nan
1.149474e-08,nan,-nan,-nan
1.160969e-08,nan,nan,nan
1.172579e-08,nan,nan,nan
1.184304e-08,nan,-nan,-nan
1.196147e-08,nan,-nan,-nan
1.208109e-08,nan,nan,nan
1.220190e-08,nan,nan,nan
1.232392e-08,nan,-nan,-nan
1.244716e-08,nan,-nan,-nan
1.257163e-08,nan,nan,nan
1.269735e-08,nan,nan,nan
1.282432e-08,nan,-nan,-nan
1.295256e-08,nan,-nan,-nan
1.308209e-08,nan,nan,nan
1.321291e-08,nan,nan,nan
1.334504e-08,nan,-nan,-nan
1.347849e-08,nan,-nan,-nan
1.361327e-08,nan,nan,nan
1.374941e-08,nan,nan,nan
1.388690e-08,nan,-nan,-nan
1.402577e-08,nan,-nan,-nan
1.416603e-08,nan,nan,nan
1.430769e-08,nan,nan,nan
