x,V,n,p
0.000000e+00,-2.000000e+00,0.000000e+00,0.000000e+00
1.000000e-09,-1.806740e+00,0.000000e+00,0.000000e+00
2.000000e-09,-1.613480e+00,0.000000e+00,0.000000e+00
3.000000e-09,-1.420220e+00,0.000000e+00,0.000000e+00
4.000000e-09,-1.226960e+00,0.000000e+00,0.000000e+00
5.000000e-09,-1.033700e+00,0.000000e+00,0.000000e+00
6.000000e-09,-8.404398e-01,0.000000e+00,0.000000e+00
7.000000e-09,-6.471797e-01,0.000000e+00,0.000000e+00
8.000000e-09,-4.539197e-01,0.000000e+00,0.000000e+00
9.000000e-09,-2.606596e-01,0.000000e+00,0.000000e+00
1.000000e-08,-6.739961e-02,2.820662e+13,2.083156e+20
1.010000e-08,-6.095761e-02,4.944142e+16,1.188453e+17
1.020100e-08,-5.445150e-02,3.818128e+16,-1.648615e+20
1.030301e-08,-4.788034e-02,2.350140e+16,-2.939617e+20
1.040604e-08,-4.124320e-02,1.983799e+15,-1.653953e+19
1.051010e-08,-3.453922e-02,1.529615e+16,-5.453401e+18
1.061520e-08,-2.776816e-02,1.289184e+16,-3.694393e+17
1.072135e-08,-2.092938e-02,9.724501e+15,3.567834e+18
1.082857e-08,-1.402222e-02,5.540868e+15,1.608970e+18
1.093685e-08,-7.045989e-03,2.250000e+03,1.000000e+17
