x,V,n,p
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-10,-1.112808e-10,0.000000e+00,0.000000e+00
4.000000e-10,-2.225616e-10,0.000000e+00,0.000000e+00
6.000000e-10,-3.338424e-10,0.000000e+00,0.000000e+00
8.000000e-10,-4.451232e-10,0.000000e+00,0.000000e+00
1.000000e-09,-5.564041e-10,0.000000e+00,0.000000e+00
1.200000e-09,-6.676849e-10,0.000000e+00,0.000000e+00
1.400000e-09,-7.789657e-10,0.000000e+00,0.000000e+00
1.600000e-09,-8.902465e-10,0.000000e+00,0.000000e+00
1.800000e-09,-1.001527e-09,0.000000e+00,0.000000e+00
2.000000e-09,-1.112808e-09,0.000000e+00,0.000000e+00
2.200000e-09,-1.224089e-09,0.000000e+00,0.000000e+00
2.400000e-09,-1.335370e-09,0.000000e+00,0.000000e+00
2.600000e-09,-1.446651e-09,0.000000e+00,0.000000e+00
2.800000e-09,-1.557931e-09,0.000000e+00,0.000000e+00
3.000000e-09,-1.669212e-09,0.000000e+00,0.000000e+00
3.200000e-09,-1.780493e-09,0.000000e+00,0.000000e+00
3.400000e-09,-1.891774e-09,0.000000e+00,0.000000e+00
3.600000e-09,-2.003055e-09,0.000000e+00,0.000000e+00
3.800000e-09,-2.114335e-09,0.000000e+00,0.000000e+00
4.000000e-09,-2.225616e-09,0.000000e+00,0.000000e+00
4.200000e-09,-2.336897e-09,0.000000e+00,0.000000e+00
4.400000e-09,-2.448178e-09,0.000000e+00,0.000000e+00
4.600000e-09,-2.559459e-09,0.000000e+00,0.000000e+00
4.800000e-09,-2.670739e-09,0.000000e+00,0.000000e+00
5.000000e-09,-2.782020e-09,0.000000e+00,0.000000e+00
5.200000e-09,-2.893301e-09,0.000000e+00,0.000000e+00
5.400000e-09,-3.004582e-09,0.000000e+00,0.000000e+00
5.600000e-09,-3.115863e-09,0.000000e+00,0.000000e+00
5.800000e-09,-3.227143e-09,0.000000e+00,0.000000e+00
6.000000e-09,-3.338424e-09,0.000000e+00,0.000000e+00
6.200000e-09,-3.449705e-09,0.000000e+00,0.000000e+00
6.400000e-09,-3.560986e-09,0.000000e+00,0.000000e+00
6.600000e-09,-3.672267e-09,0.000000e+00,0.000000e+00
6.800000e-09,-3.783548e-09,0.000000e+00,0.000000e+00
7.000000e-09,-3.894828e-09,0.000000e+00,0.000000e+00
7.200000e-09,-4.006109e-09,0.000000e+00,0.000000e+00
7.400000e-09,-4.117390e-09,0.000000e+00,0.000000e+00
7.600000e-09,-4.228671e-09,0.000000e+00,0.000000e+00
7.800000e-09,-4.339952e-09,0.000000e+00,0.000000e+00
8.000000e-09,-4.451232e-09,0.000000e+00,0.000000e+00
8.200000e-09,-4.562513e-09,0.000000e+00,0.000000e+00
8.400000e-09,-4.673794e-09,0.000000e+00,0.000000e+00
8.600000e-09,-4.785075e-09,0.000000e+00,0.000000e+00
8.800000e-09,-4.896356e-09,0.000000e+00,0.000000e+00
9.000000e-09,-5.007636e-09,0.000000e+00,0.000000e+00
9.200000e-09,-5.118917e-09,0.000000e+00,0.000000e+00
9.400000e-09,-5.230198e-09,0.000000e+00,0.000000e+00
9.600000e-09,-5.341479e-09,0.000000e+00,0.000000e+00
9.800000e-09,-5.452760e-09,0.000000e+00,0.000000e+00
1.000000e-08,-5.564041e-09,2.250000e+03,1.000000e+17
1.010000e-08,-5.582587e-09,2.250000e+03,1.000000e+17
1.020100e-08,-5.601313e-09,2.250000e+03,1.000000e+17
1.030301e-08,-5.620218e-09,2.250000e+03,1.000000e+17
1.040604e-08,-5.639306e-09,2.250000e+03,1.000000e+17
1.051010e-08,-5.658577e-09,2.250000e+03,1.000000e+17
1.061520e-08,-5.678033e-09,2.250000e+03,1.000000e+17
1.072135e-08,-5.697676e-09,2.250000e+03,1.000000e+17
1.082857e-08,-5.717508e-09,2.250000e+03,1.000000e+17
1.093685e-08,-5.737530e-09,2.250000e+03,1.000000e+17
1.104622e-08,-5.757744e-09,2.250000e+03,1.000000e+17
1.115668e-08,-5.778153e-09,2.250000e+03,1.000000e+17
1.126825e-08,-5.798756e-09,2.250000e+03,1.000000e+17
1.138093e-08,-5.819558e-09,2.250000e+03,1.000000e+17
1.149474e-08,-5.840558e-09,2.250000e+03,1.000000e+17
1.160969e-08,-5.861760e-09,2.250000e+03,1.000000e+17
1.172579e-08,-5.883165e-09,2.250000e+03,1.000000e+17
1.184304e-08,-5.904774e-09,2.250000e+03,1.000000e+17
1.196147e-08,-5.926590e-09,2.250000e+03,1.000000e+17
1.208109e-08,-5.948614e-09,2.250000e+03,1.000000e+17
1.220190e-08,-5.970849e-09,2.250000e+03,1.000000e+17
1.232392e-08,-5.993296e-09,2.250000e+03,1.000000e+17
1.244716e-08,-6.015958e-09,2.250000e+03,1.000000e+17
1.257163e-08,-6.038835e-09,2.250000e+03,1.000000e+17
1.269735e-08,-6.061931e-09,2.250000e+03,1.000000e+17
1.282432e-08,-6.085247e-09,2.250000e+03,1.000000e+17
1.295256e-08,-6.108784e-09,2.250000e+03,1.000000e+17
1.308209e-08,-6.132546e-09,2.250000e+03,1.000000e+17
1.321291e-08,-6.156534e-09,2.250000e+03,1.000000e+17
1.334504e-08,-6.180750e-09,2.250000e+03,1.000000e+17
1.347849e-08,-6.205196e-09,2.250000e+03,1.000000e+17
1.361327e-08,-6.229875e-09,2.250000e+03,1.000000e+17
1.374941e-08,-6.254787e-09,2.250000e+03,1.000000e+17
1.388690e-08,-6.279936e-09,2.250000e+03,1.000000e+17
1.402577e-08,-6.305324e-09,2.250000e+03,1.000000e+17
1.416603e-08,-6.330952e-09,2.250000e+03,1.000000e+17
1.430769e-08,-6.356823e-09,2.250000e+03,1.000000e+17
1.445076e-08,-6.382939e-09,2.250000e+03,1.000000e+17
1.459527e-08,-6.409302e-09,2.250000e+03,1.000000e+17
1.474123e-08,-6.435914e-09,2.250000e+03,1.000000e+17
1.488864e-08,-6.462778e-09,2.250000e+03,1.000000e+17
1.503752e-08,-6.489895e-09,2.250000e+03,1.000000e+17
1.518790e-08,-6.517269e-09,2.250000e+03,1.000000e+17
1.533978e-08,-6.544900e-09,2.250000e+03,1.000000e+17
1.549318e-08,-6.572792e-09,2.250000e+03,1.000000e+17
1.564811e-08,-6.600947e-09,2.250000e+03,1.000000e+17
1.580459e-08,-6.629367e-09,2.250000e+03,1.000000e+17
1.596263e-08,-6.658055e-09,2.250000e+03,1.000000e+17
1.612226e-08,-6.687012e-09,2.250000e+03,1.000000e+17
1.628348e-08,-6.716241e-09,2.250000e+03,1.000000e+17
1.644632e-08,-6.745745e-09,2.250000e+03,1.000000e+17
1.661078e-08,-6.775526e-09,2.250000e+03,1.000000e+17
1.677689e-08,-6.805586e-09,2.250000e+03,1.000000e+17
1.694466e-08,-6.835927e-09,2.250000e+03,1.000000e+17
1.711410e-08,-6.866553e-09,2.250000e+03,1.000000e+17
1.728525e-08,-6.897465e-09,2.250000e+03,1.000000e+17
1.745810e-08,-6.928667e-09,2.250000e+03,1.000000e+17
1.763268e-08,-6.960160e-09,2.250000e+03,1.000000e+17
1.780901e-08,-6.991947e-09,2.250000e+03,1.000000e+17
1.798710e-08,-7.024031e-09,2.250000e+03,1.000000e+17
1.816697e-08,-7.056414e-09,2.250000e+03,1.000000e+17
1.834864e-08,-7.089098e-09,2.250000e+03,1.000000e+17
1.853212e-08,-7.122087e-09,2.250000e+03,1.000000e+17
1.871744e-08,-7.155383e-09,2.250000e+03,1.000000e+17
1.890462e-08,-7.188989e-09,2.250000e+03,1.000000e+17
1.909366e-08,-7.222906e-09,2.250000e+03,1.000000e+17
1.928460e-08,-7.257138e-09,2.250000e+03,1.000000e+17
1.947745e-08,-7.291688e-09,2.250000e+03,1.000000e+17
1.967222e-08,-7.326558e-09,2.250000e+03,1.000000e+17
1.986894e-08,-7.361750e-09,2.250000e+03,1.000000e+17
2.006763e-08,-7.397269e-09,2.250000e+03,1.000000e+17
2.026831e-08,-7.433115e-09,2.250000e+03,1.000000e+17
2.047099e-08,-7.469293e-09,2.250000e+03,1.000000e+17
2.067570e-08,-7.505804e-09,2.250000e+03,1.000000e+17
2.088246e-08,-7.542652e-09,2.250000e+03,1.000000e+17
2.109128e-08,-7.579839e-09,2.250000e+03,1.000000e+17
2.130220e-08,-7.617368e-09,2.250000e+03,1.000000e+17
2.151522e-08,-7.655243e-09,2.250000e+03,1.000000e+17
2.173037e-08,-7.693465e-09,2.250000e+03,1.000000e+17
2.194768e-08,-7.732038e-09,2.250000e+03,1.000000e+17
2.216715e-08,-7.770965e-09,2.250000e+03,1.000000e+17
2.238882e-08,-7.810248e-09,2.250000e+03,1.000000e+17
2.261271e-08,-7.849890e-09,2.250000e+03,1.000000e+17
2.283884e-08,-7.889895e-09,2.250000e+03,1.000000e+17
2.306723e-08,-7.930266e-09,2.250000e+03,1.000000e+17
2.329790e-08,-7.971004e-09,2.250000e+03,1.000000e+17
2.353088e-08,-8.012114e-09,2.250000e+03,1.000000e+17
2.376619e-08,-8.053598e-09,2.250000e+03,1.000000e+17
2.400385e-08,-8.095459e-09,2.250000e+03,1.000000e+17
2.424389e-08,-8.137701e-09,2.250000e+03,1.000000e+17
2.448633e-08,-8.180326e-09,2.250000e+03,1.000000e+17
2.473119e-08,-8.223338e-09,2.250000e+03,1.000000e+17
2.497850e-08,-8.266739e-09,2.250000e+03,1.000000e+17
2.522829e-08,-8.310532e-09,2.250000e+03,1.000000e+17
2.548057e-08,-8.354721e-09,2.250000e+03,1.000000e+17
